"","Folkmängden länsvis 1749 - 2015","X__1"
"1",NA,NA
"2","Län",2015
"3","Stockholm2",2231439
"4","Uppsala3",354164
"5","Södermanland",283712
"6","Östergötland",445661
"7","Jönköping4",347837
"8","Kronoberg",191369
"9","Kalmar",237679
"10","Gotland",57391
"11","Blekinge",156253
"12","Skåne5",1303627
"13","Halland",314784
"14","Västra Götaland4",1648682
"15","Värmland",275904
"16","Örebro",291012
"17","Västmanland3",264276
"18","Dalarna6",281028
"19","Gävleborg",281815
"20","Västernorrland",243897
"21","Jämtland",127376
"22","Västerbotten",263378
"23","Norrbotten",249733
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",NA,NA
"29",NA,NA
"30",NA,NA
"31",NA,NA
"32",NA,NA
"33",NA,NA
"34",NA,NA
"35",NA,NA
"36",NA,NA
"37",NA,NA
"38","1 Avser folkmängden den 31 december enligt indelningen vid samma tidpunkt, utom för åren 1910 - 1930, 1940 - 1945 samt 1955 - 2010 där indelningen avser den 1 januari följande år samt för år 1950 där indelningen avser den 1 januari 1952.",NA
"39","2 Stockholms stad uppgick i Stockholms län den 1 januari 1968.",NA
"40","3 Heby kommun bytte län från Västmanland till Uppsala 1 januari 2007.",NA
"41","4 Göteborgs och Bohus län, Älvsborgs län och Skaraborgs län bildade Västra Götalands län 1 januari 1998 (exkl. Habo och Mullsjö kommuner som tillfördes Jönköpings län).",NA
"42","5 Kristianstads län och Malmöhus län bildade Skåne län 1 januari 1997.",NA
"43","6 Namnändrades från Kopparbergs län 1 januari 1997.",NA
"44",NA,NA
"45","Källa: 1749-1950 Historisk statistik för 
           Sverige, Del 1. Befolkning",NA
"46","1955, 1960 Befolkningsrörelsen, År 
          1955, 1960",NA
"47","1965 Folkmängdens förändringar, 
          1965",NA
"48","1970-2015 Statistikdatabasen (SCB)",NA
